milliseconds_played,latitude,longitude,city,timestamp,source,track_id,track_name,album_name,artist_id,artist_name,valence_score,danceability_score,familiarity_score,song_year,song_tempo,runnability,energy,popularity_normalized,Id,date,hour,weekday,device,system,up_to_date_score,tempo_score
11615,40.7,-74.0,New York,1438891440,album,7cd5dfa47b2e4994b8de71517789e0c5,Smoke Ring For My Halo,Smoke Ring For My Halo,ad019eaa318d47548f22fc5c1195c598,Kurt Vile,0.44891,0.542028,0.614135,2011.0,106.061,0.6972456,0.6128187,0.4870488366,1,2015-08-06,16,Thu,x86 8,OS X 10.10.4,0.946666666667,0.442533003989
0,40.7,-74.0,New York,1438897094,com.spotify.gaia,b616855c5d4746bcaf5c958a364ebd16,The Blizzard Of '78,Carousel,f8a01212589b48929aeea4a5436ef8d3,Victory at Sea,0.191321,0.444658,0.359461,2001.0,116.436,0.46663955,0.7179191,0.129311021,1,2015-08-06,17,Thu,"iPhone7,2",iOS 8.4,0.813333333333,0.485822053841
212831,41.5,-73.0,Prospect,1438898699,playlist,6330871f7493471eb634e7c87b4baa95,Feeling Alright,Warpaint,75d6ce779ac041c188838d4e96affb70,Warpaint,,,,,,0.9107895,0.6142063,0.5774931941,1,2015-08-06,18,Thu,"iPhone7,2",iOS 8.4,,
242973,41.5,-73.0,Prospect,1438898721,playlist,970a28c2a0674843a160fd4c84b4c4fc,Drive,Warpaint,75d6ce779ac041c188838d4e96affb70,Warpaint,0.083038,0.598259,0.618584,2013.0,96.354,0.41094318,0.31990442,0.5141347206,1,2015-08-06,18,Thu,"iPhone7,2",iOS 8.4,0.973333333333,0.402031143081
111275,41.5,-73.0,Prospect,1438898833,album,b6640c3980364f768a05fe46e8f987f6,Set Your Arms Down,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.486546,0.402017,0.618584,2010.0,108.532,0.4928504,0.5553488,0.4641650134,1,2015-08-06,18,Thu,"iPhone7,2",iOS 8.4,0.933333333333,0.452843099621
133868,41.5,-73.0,Prospect,1438898968,album,ec887450b8e54ad0a834a868a854941a,Majesty,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,,,,,,0.6632776,0.62664664,0.4398979121,1,2015-08-06,18,Thu,"iPhone7,2",iOS 8.4,,
20377,41.5,-73.0,Prospect,1438898988,album,2a3980c5450b4af98223ff6108633ace,Lissie’s Heart Murmur,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.356593,0.301785,0.618584,2010.0,94.4,0.54397833,0.62751657,0.4280494379,1,2015-08-06,18,Thu,"iPhone7,2",iOS 8.4,0.933333333333,0.393878198174
185,40.8,-74.0,New York,1438909154,playlist,8120a12b038b4dbc8178ee9800e6705d,Colonel Hathi's March (The Elephant Song),The Jungle Book,5586948cf8554ebb8a69275bf8a5211e,J. Pat O'Malley,0.818451,0.845071,0.151999,2003.0,95.903,0.16226228,0.40278235,0.4817632045,1,2015-08-06,20,Thu,"iPad3,1",iOS 8.4,0.84,0.4001493733
152053,40.8,-74.0,New York,1438909304,playlist,8120a12b038b4dbc8178ee9800e6705d,Colonel Hathi's March (The Elephant Song),The Jungle Book,5586948cf8554ebb8a69275bf8a5211e,J. Pat O'Malley,0.818451,0.845071,0.151999,2003.0,95.903,0.16226228,0.40278235,0.4817632045,1,2015-08-06,21,Thu,"iPad3,1",iOS 8.4,0.84,0.4001493733
170480,40.8,-74.0,New York,1438909475,playlist,859dab81582f46c085c254420d6350ca,Trust In Me (The Python's Song),The Jungle Book,3aa0f15d3af84cbe9baab5de10ff3437,Sterling Holloway,0.084786,0.329939,0.266281,1965.0,101.747,0.24826142,0.06571679,0.4366951512,1,2015-08-06,21,Thu,"iPad3,1",iOS 8.4,0.333333333333,0.424533104127
291466,40.8,-74.0,New York,1438909766,playlist,ef0d3476afe54c1f95e959deed1e55aa,The Bare Necessities - Soundtrack,The Jungle Book,597fec6b81724a5fb2a90cdb69942ec8,Phil Harris,,,,,,0.24872555,0.24170242,0.5291805626,1,2015-08-06,21,Thu,"iPad3,1",iOS 8.4,,
279453,40.8,-74.0,New York,1438910046,playlist,570a10ff01f84f7281112f40c3e2c4ab,I Wan'na Be Like You (The Monkey Song),The Jungle Book,a587654722054c31bbde6de4a2d08cb8,Louis Prima,0.775553,0.747785,0.597994,1997.0,96.83,0.30570337,0.4101182,0.5373930979,1,2015-08-06,21,Thu,"iPad3,1",iOS 8.4,0.76,0.404017223826
354826,41.5,-73.0,Prospect,1438911138,album,72bf9654b7a14b89af9f2028ccf26434,Warpaint,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.255155,0.539623,0.618584,2010.0,105.463,0.68456405,0.8161413,0.4561172674,1,2015-08-06,21,Thu,"iPhone7,2",iOS 8.4,0.933333333333,0.440037885742
353226,41.5,-73.0,Prospect,1438911491,album,cc5a775d6dc6450fafb54ccd8239afc7,Undertow,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.356328,0.495047,0.618584,2010.0,104.224,0.4422862,0.4911595,0.5570906201,1,2015-08-06,21,Thu,"iPhone7,2",iOS 8.4,0.933333333333,0.434868234391
185,40.8,-74.0,New York,1438948283,playlist,8120a12b038b4dbc8178ee9800e6705d,Colonel Hathi's March (The Elephant Song),The Jungle Book,5586948cf8554ebb8a69275bf8a5211e,J. Pat O'Malley,0.818451,0.845071,0.151999,2003.0,95.903,0.16226228,0.40278235,0.4817632045,1,2015-08-07,07,Fri,"iPad3,1",iOS 8.4,0.84,0.4001493733
195093,40.8,-74.0,New York,1438948477,playlist,1d43cabe08ed4b33bbe010bc4b9beaa9,Fare Thee Well,"Broadside Ballads, Vol. 2",3bf7130e86e740e5b9720f4aa0839d5e,Pete Seeger,0.642604,0.420299,0.673298,1963.0,94.152,0.46063656,0.3046705,0.4103487542,1,2015-08-07,07,Fri,"iPad3,1",iOS 8.4,0.306666666667,0.392843433416
113220,40.8,-74.0,New York,1438948590,playlist,f1f7ccd7ea0a4d5cad890827d7b7fdfe,The Auld Triangle,The Best That Is Irish,e783e648618347bc9efe37e76eb9ab3e,The Dubliners,,,,,,0.041657094,0.13390826,0.3670766515,1,2015-08-07,07,Fri,"iPad3,1",iOS 8.4,,
197146,40.8,-74.0,New York,1438948787,playlist,6a7927827ca344beb27155d1a779f03c,Five Hundred Miles,The Kingston Trio Live At The Historic Yuma Theatre,70994b7cdd5948389503a3d3fd16f52c,The Kingston Trio,0.382937,0.466197,0.567203,2011.0,100.66,0.50354666,0.3519587,0.4135323769,1,2015-08-07,07,Fri,"iPad3,1",iOS 8.4,0.946666666667,0.419997663434
302200,40.8,-74.0,New York,1438949090,playlist,de0a43f58b474f1db2e8715175f84f75,The Storms Are on the Ocean,Bluegrass Guitar,3a1ef3f2bac5479f8dc4d76813d329c4,Bryan Sutton,,,,,,0.04344942,0.24390084,0.3418122778,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,,
226200,40.8,-74.0,New York,1438949316,playlist,8a46064fa8454b3e981353fa0c72c94f,Dink's Song (Covered in the Motion Picture),Dink's Song (Covered in the Motion Picture) - Single,e0e47e06eaaa4383b2a3dc67b85def49,Dave Van Ronk,,,,,,0.14352876,0.19500175,0.3641436845,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,,
144480,40.8,-74.0,New York,1438949461,playlist,335a1e198473400b9f75c47d6fc8e651,Green Rocky Road - Larkin Bryant Cohen,The Instrumental Memphis Music Sampler Vol. 2,985bdd370a9547ebbd986011a4a0a834,Larkin Bryant Cohen,0.144637,0.508167,0.092315,1998.0,143.42,0.17684641,0.2549491,0.3034844135,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,0.773333333333,0.598411135404
221493,40.8,-74.0,New York,1438949683,playlist,83a67702a67b4f3c8a904b74eec4f61c,Roving Gambler,Songs Our Daddy Taught Us,96d57a627c2c4dbb88dfd2429dd21e2e,The Everly Brothers,0.477383,0.454393,0.703051,1958.0,154.488,0.3111684,0.25381973,0.3462415622,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,0.24,0.644591685164
225426,40.8,-74.0,New York,1438949909,playlist,a855968b2fea4e489928350875266ed5,Shoals Of Herring,People and Songs of the Sea,66baf9781a304575a05e3ab915705f66,The Corries,,,,,,0.61269164,0.27570206,0.4140502471,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,,
202040,40.8,-74.0,New York,1438950112,playlist,2dedcbcb2a084f0e93e12c0f72931fbc,Green Rocky Road,1966,bed51474c3be4845bcbc2954290a9030,Karen Dalton,0.228281,0.480042,0.568271,2012.0,70.12,0.2798127,0.057154022,0.4200338217,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,0.96,0.292571390423
23591,40.8,-74.0,New York,1438950249,playlist,42bd025d7cd749dd9cf98805d7a65506,The Death Of Queen Jane,Fairest Floo'er,c37bbcbfeb964f9e8cbe4621900f0871,Karine Polwart,0.479026,0.37345,0.482935,2007.0,114.858,0.27801096,0.17677906,0.3482440725,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,0.893333333333,0.479237945825
238693,40.8,-74.0,New York,1438950488,playlist,9b10aa72288c4d64868faf757f34d492,Farewell,The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9),e86ede6eee0b4f08bd606bf1bb07f49b,Bob Dylan,0.47125,0.460155,0.871222,1963.0,168.363,0.54411244,0.2745787,0.4415526633,1,2015-08-07,08,Fri,"iPad3,1",iOS 8.4,0.306666666667,0.702484269907
6720,41.5,-72.8,Meriden,1438952400,album,99353ff53c17437f99f2b4ccaaec9c58,Bees,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.608902,0.59807,0.618584,2010.0,102.121,0.97965163,0.7807461,0.455090964,1,2015-08-07,09,Fri,"iPhone7,2",iOS 8.4,0.933333333333,0.426093596141
5108,41.5,-72.8,Meriden,1438952400,album,cc5a775d6dc6450fafb54ccd8239afc7,Undertow,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.356328,0.495047,0.618584,2010.0,104.224,0.4422862,0.4911595,0.5570906201,1,2015-08-07,09,Fri,"iPhone7,2",iOS 8.4,0.933333333333,0.434868234391
1160,41.5,-72.8,Meriden,1438952400,album,99353ff53c17437f99f2b4ccaaec9c58,Bees,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.608902,0.59807,0.618584,2010.0,102.121,0.97965163,0.7807461,0.455090964,1,2015-08-07,09,Fri,"iPhone7,2",iOS 8.4,0.933333333333,0.426093596141
102771,40.8,-74.0,New York,1438952406,playlist,281c49e847fa4e86974ca5a2fc62cf98,Dink's Song,No Direction Home: Bootleg Volume 7 (Movie Soundtrack),e86ede6eee0b4f08bd606bf1bb07f49b,Bob Dylan,0.676019,0.67491,0.871222,1967.0,92.0,0.35518524,0.3418058,0.4393878439,1,2015-08-07,09,Fri,"iPad3,1",iOS 8.4,0.36,0.383864345678
48482,41.5,-72.8,Meriden,1438952453,album,99353ff53c17437f99f2b4ccaaec9c58,Bees,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.608902,0.59807,0.618584,2010.0,102.121,0.97965163,0.7807461,0.455090964,1,2015-08-07,09,Fri,"iPhone7,2",iOS 8.4,0.933333333333,0.426093596141
69853,41.5,-72.8,Meriden,1438952523,album,6c68c14edbea43ac8f29e1d97b4e6b86,Shadows,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.562792,0.483999,0.618584,2010.0,89.732,0.8305255,0.4630558,0.4580672707,1,2015-08-07,09,Fri,"iPhone7,2",iOS 8.4,0.933333333333,0.37440125507
49026,41.5,-72.8,Meriden,1438952571,album,95436b1f726140918e97679220a66c1a,Composure,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.212513,0.392253,0.618584,2010.0,119.364,0.57049924,0.58466834,0.4429048209,1,2015-08-07,09,Fri,"iPhone7,2",iOS 8.4,0.933333333333,0.498038953886
136846,41.5,-72.8,Meriden,1438952734,album,5e92294a6c264e77b57150e40f63faeb,Baby,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.149524,0.448669,0.618584,2010.0,129.154,0.57549244,0.10407845,0.5059167134,1,2015-08-07,09,Fri,"iPhone7,2",iOS 8.4,0.933333333333,0.538887127193
0,40.8,-74.0,New York,1438989038,com.spotify.gaia,5e92294a6c264e77b57150e40f63faeb,Baby,The Fool,75d6ce779ac041c188838d4e96affb70,Warpaint,0.149524,0.448669,0.618584,2010.0,129.154,0.57549244,0.10407845,0.5059167134,1,2015-08-07,19,Fri,"iPad3,1",iOS 8.4,0.933333333333,0.538887127193
187733,40.8,-74.0,New York,1438989225,search,0c61aba6aa4b460d9400d1316fae9dda,Ignition (Remix),The R. In R&B Collection: Volume 1,4da816c4d97e48718e41bc922a4317fa,R. Kelly,0.812425,0.752347,0.773238,1990.0,133.072,0.7996103,0.52656823,0.7671395517,1,2015-08-07,19,Fri,"iPad3,1",iOS 8.4,0.666666666667,0.555234741392
255093,40.8,-74.0,New York,1438989481,search,5c569eb65cc844969eae196c2907baa8,Bump n' Grind,The R. In R&B Collection: Volume 1,4da816c4d97e48718e41bc922a4317fa,R. Kelly,0.684495,0.506821,0.773238,1990.0,65.551,0.88005704,0.52542526,0.6930150854,1,2015-08-07,19,Fri,"iPad3,1",iOS 8.4,0.666666666667,0.273507518734
17136,40.8,-74.0,New York,1438989498,search,8be84374ae7e41ff9b3ac47e1897de7d,Cookie,Black Panties (Deluxe Version),4da816c4d97e48718e41bc922a4317fa,R. Kelly,0.536112,0.648228,0.773238,2013.0,130.945,0.85152423,0.75831926,0.6960614241,1,2015-08-07,19,Fri,"iPad3,1",iOS 8.4,0.973333333333,0.546359964618
